ts,device,co,humidity,light,lpg,motion,smoke,temp
1.59E+09,b8:27:eb:bf:9d:51,0.004955939,51,FALSE,0.007650822,FALSE,0.02041127,22.7
1.59E+09,b8:27:eb:bf:9d:51,0.004976012,50.9,FALSE,0.007673227,FALSE,0.020475126,22.6
1.59E+09,b8:27:eb:bf:9d:51,0.004967364,50.9,FALSE,0.007663577,FALSE,0.020447621,22.6
1.59E+09,b8:27:eb:bf:9d:51,0.004976025,50.9,FALSE,0.007673242,FALSE,0.020475166,22.6
1.59E+09,b8:27:eb:bf:9d:51,0.004970256,50.9,FALSE,0.007666805,FALSE,0.02045682,22.6
1.59E+09,b8:27:eb:bf:9d:51,0.004960209,50.9,FALSE,0.00765559,FALSE,0.020424858,22.6
1.59E+09,b8:27:eb:bf:9d:51,0.004971645,50.9,FALSE,0.007668355,FALSE,0.020461238,22.6
1.59E+09,b8:27:eb:bf:9d:51,0.004964565,50.9,FALSE,0.007660453,FALSE,0.020438717,22.6
1.59E+09,b8:27:eb:bf:9d:51,0.004975983,50.9,FALSE,0.007673195,FALSE,0.020475034,22.6
1.59E+09,b8:27:eb:bf:9d:51,0.004960209,50.9,FALSE,0.00765559,FALSE,0.020424858,22.6
1.59E+09,b8:27:eb:bf:9d:51,0.004956119,50.9,FALSE,0.007651024,FALSE,0.020411845,22.6
1.59E+09,b8:27:eb:bf:9d:51,0.00495173,50.8,FALSE,0.007646122,FALSE,0.020397876,22.6
1.59E+09,b8:27:eb:bf:9d:51,0.004961647,50.9,FALSE,0.007657197,FALSE,0.020429436,22.6
1.59E+09,b8:27:eb:bf:9d:51,0.004926209,50.9,FALSE,0.007617594,FALSE,0.020316591,22.6
